profile,profile_url,kind,media_type,timestamp_utc,url,shortCode,likes,comments,views,caption
kaskadclinica,https://www.instagram.com/kaskadclinica/,post,Sidecar,2026-01-19T08:09:34+00:00,https://www.instagram.com/p/DTr16AQCEHq/,DTr16AQCEHq,54,0,,"Знакомьтесь: Прохоров Александр Викторович, онколог-хирург Клиники Каскад 👨‍⚕️

➔ Доктор медицинских наук, профессор кафедры онкологии БГМУ
➔ Врач высшей квалификационной категории 
➔ Научно-практический интерес: иммунотерапия злокачественных опухолей, онкохирургия желудка и кишечника, опухоли поджелудочной железы, печени

Александр Викторович не только лечит, но и проводит исследования, публикует научные работы, ищет новые методы диагностики и лечения, опираясь на доказательную медицину ⚕️ 

Запишитесь к нему на консультацию, чтобы получить экспертное мнение врача-ученого, через сообщения в Директ или онлайн на нашем сайте. 

📍 ул. Кальварийская, 40 (ст.м. «Молодежная»)
📞 короткий номер 480"
kaskadclinica,https://www.instagram.com/kaskadclinica/,post,Video,2026-01-16T07:54:04+00:00,https://www.instagram.com/p/DTkFpanCO1q/,DTkFpanCO1q,20,0,476,"Время дарить заботу своему телу! ✨

Специалисты Клиники Каскад помогают не только чувствовать себя лучше, но и и выглядеть безупречно. Для этого у нас есть два мощных инструмента: 

💆 лечебный массаж — дарит ощущение комфорта, помогает снять боли, восстановить тонус, побороть бессонницу и усталость;
🍑 антицеллюлитный массаж — делает кожу более упругой и эластичной, помогает убрать «апельсиновую корку» и создать идеальный силуэт. 

В Клинике Каскад три опытных массажиста, поэтому ваше здоровье и красота в надежных руках! Подарите своему телу обновление и профессиональную заботу. Запишитесь уже сегодня!

Запись на лечебный массаж осуществляется при наличии направления от врача (действительно 6 месяцев).

📍 ул. Кальварийская, 40 (ст.м. «Молодежная»)
📞 короткий номер 480"
kaskadclinica,https://www.instagram.com/kaskadclinica/,post,Sidecar,2026-01-13T12:11:19+00:00,https://www.instagram.com/p/DTc0zVHiGm6/,DTc0zVHiGm6,28,0,,"Рады представить вам врача ультразвуковой диагностики Клиники Каскад: Кравчину Анну Владимировну 👩‍⚕️

Врач первой категории, которая проводит диагностику для взрослых и детей в возрасте 10+ лет. 

Специализируется на УЗИ сердца, предстательной железы, мочевого пузыря, брюшной полости, почек, кишечника, поджелудочной железы, печени, желчного пузыря, селезенки, матки и придатков, молочных желез, щитовидной железы, мягких тканей и др.

Как ОТЗЫВаются пациенты об Анне Владимировне: 

▪️ «Очень приятный и грамотный врач. Успокоила, все разъяснила. Только положительные впечатления остались от визита»
▪️ Очень хороший врач, помогла мне, все подробно объяснила и ответила на все мои вопросы. Спасибо!»
▪️ «Прекрасный специалист! Вежливая, грамотная, знающая свое дело! Всегда подробно выслушает, все внимательно посмотрит и ответит на все мои вопросы!»

Позаботьтесь о своем здоровье! Запишитесь на диагностику к опытному специалисту ✍️

📍 ул. Кальварийская, 40 (ст.м. «Молодежная»)
📞 короткий номер 480"
kravira.by,https://www.instagram.com/kravira.by/,post,Video,2026-01-22T15:20:00+00:00,https://www.instagram.com/p/DT0VmXWjEa4/,DT0VmXWjEa4,37,0,678,Записаться на консультацию к врачу-флебологу можно по 📞403
kravira.by,https://www.instagram.com/kravira.by/,post,Video,2026-01-19T14:16:50+00:00,https://www.instagram.com/p/DTsf0FVDOiX/,DTsf0FVDOiX,38,0,1790,"Признавайтесь, было!? 

Записаться к нашим специалистам можно по 📞 403, если что 😉✌🏻"
kravira.by,https://www.instagram.com/kravira.by/,post,Video,2026-01-16T15:53:23+00:00,https://www.instagram.com/p/DTk8VLljGVT/,DTk8VLljGVT,27,0,,"Записаться на консультацию к Рындину Алексею Анатольевичу, КМН, врачу-урологу, можно по короткому номеру 📞 403 💚"
kravira.by,https://www.instagram.com/kravira.by/,post,Video,2026-01-14T10:27:03+00:00,https://www.instagram.com/p/DTfNgzpDFsM/,DTfNgzpDFsM,34,0,803,"Записаться на консультацию к Попченко Андрею Леонидовичу, КМН, врачу-флебологу, можно по короткому номеру 📞 403 💚"
kravira.by,https://www.instagram.com/kravira.by/,post,Sidecar,2026-01-12T16:40:14+00:00,https://www.instagram.com/p/DTauyEHjMor/,DTauyEHjMor,16,0,,"Приходите на первую консультацию к флебологу и зафиксируйте скидку 15% на ЭВЛК на 30 дней*

Записаться можно по 📞403

*Срок проведения акции до 28.02.2026

Сделайте шаг к здоровым ногам без варикоза 💚"
kravira.by,https://www.instagram.com/kravira.by/,post,Video,2026-01-09T13:20:00+00:00,https://www.instagram.com/p/DTSpkqCjM6P/,DTSpkqCjM6P,23,2,1029,"Ждем вас каждый день в любую погоду в наших филиалах @kravira.by ❄️💚

Записаться можно по 📞403, если что 😉"
kravira.by,https://www.instagram.com/kravira.by/,post,Video,2026-01-06T11:58:09+00:00,https://www.instagram.com/p/DTKxoYzjNcU/,DTKxoYzjNcU,23,2,1127,"Записаться на консультацию к Мурашко Анжеле Ивановне, врачу-дерматологу, можно по короткому номеру 📞 403 💚"
